,Year,County,Unemployment Rate,Region
279,2013,Solano,9.066666667,"Solano County, CA"
280,2013,Sonoma,7.1,"Sonoma County, CA"
281,2013,Stanislaus,12.95,"Stanislaus County, CA"
282,2013,Sutter,14.61666667,"Sutter County, CA"
283,2013,Tehama,11.625,"Tehama County, CA"
284,2013,Trinity,11.975,"Trinity County, CA"
285,2013,Tulare,14.35,"Tulare County, CA"
286,2013,Tuolumne,10.775,"Tuolumne County, CA"
287,2013,Ventura,7.866666667,"Ventura County, CA"
288,2013,Yolo,9.008333333,"Yolo County, CA"
289,2013,Yuba,13.15,"Yuba County, CA"
290,2014,Alameda,5.8,"Alameda County, CA"
291,2014,Alpine,8.175,"Alpine County, CA"
292,2014,Amador,8.316666667,"Amador County, CA"
293,2014,Butte,8.65,"Butte County, CA"
294,2014,Calaveras,8.016666667,"Calaveras County, CA"
295,2014,Colusa,17.475,"Colusa County, CA"
296,2014,Contra Costa,6.158333333,"Contra Costa County, CA"
297,2014,Del Norte,10.05833333,"Del Norte County, CA"
298,2014,El Dorado,6.958333333,"El Dorado County, CA"
299,2014,Fresno,11.575,"Fresno County, CA"
300,2014,Glenn,10.675,"Glenn County, CA"
301,2014,Humboldt,6.65,"Humboldt County, CA"
302,2014,Imperial,24.025,"Imperial County, CA"
303,2014,Inyo,6.825,"Inyo County, CA"
304,2014,Kern,10.4,"Kern County, CA"
305,2014,Kings,11.91666667,"Kings County, CA"
306,2014,Lake,8.95,"Lake County, CA"
307,2014,Lassen,9.1,"Lassen County, CA"
308,2014,Los Angeles,16.51666667,"Los Angeles County, CA"
309,2014,Madera,11.19166667,"Madera County, CA"
310,2014,Marin,4.266666667,"Marin County, CA"
311,2014,Mariposa,8.883333333,"Mariposa County, CA"
312,2014,Mendocino,6.991666667,"Mendocino County, CA"
313,2014,Merced,12.84166667,"Merced County, CA"
314,2014,Modoc,10.28333333,"Modoc County, CA"
315,2014,Mono,7.058333333,"Mono County, CA"
316,2014,Monterey,9.125,"Monterey County, CA"
317,2014,Napa,5.675,"Napa County, CA"
