,State,County,City,Median Sale Price,Date,Month,Year
17062,California,"Alameda, CA",Alameda,902000.0,4/1/2017,4,2017
17165,California,"Alameda, CA",Alameda,885000.0,5/1/2018,5,2018
17167,California,"San Francisco, CA",San Francisco,1438000.0,5/1/2018,5,2018
17202,California,"Alameda, CA",Alameda,933000.0,11/1/2018,11,2018
17216,California,"Alameda, CA",Alameda,1010000.0,2/1/2019,2,2019
17605,California,"Napa, CA",Napa,320000.0,2/1/2012,2,2012
17640,California,"San Francisco, CA",San Francisco,699000.0,3/1/2012,3,2012
17670,California,"San Mateo, CA",San Mateo,590000.0,4/1/2012,4,2012
17777,California,"Napa, CA",Napa,354000.0,9/1/2012,9,2012
17898,California,"Napa, CA",Napa,420000.0,2/1/2013,2,2013
18118,California,"Santa Clara, CA",Santa Clara,920000.0,10/1/2015,10,2015
18191,California,"Santa Clara, CA",Santa Clara,995000.0,5/1/2016,5,2016
18194,California,"Alameda, CA",Alameda,851000.0,6/1/2016,6,2016
18205,California,"Alameda, CA",Alameda,835000.0,7/1/2016,7,2016
18275,California,"Santa Clara, CA",Santa Clara,1050000.0,4/1/2017,4,2017
18294,California,"Alameda, CA",Alameda,914000.0,6/1/2017,6,2017
18309,California,"Santa Clara, CA",Santa Clara,1110000.0,7/1/2017,7,2017
18368,California,"Santa Clara, CA",Santa Clara,1500000.0,2/1/2018,2,2018
18430,California,"Alameda, CA",Alameda,951000.0,12/1/2018,12,2018
18877,California,"San Mateo, CA",San Mateo,715000.0,7/1/2012,7,2012
18942,California,"Napa, CA",Napa,368000.0,11/1/2012,11,2012
18958,California,"San Francisco, CA",San Francisco,810000.0,11/1/2012,11,2012
19039,California,"Napa, CA",Napa,425000.0,4/1/2013,4,2013
19094,California,"San Francisco, CA",San Francisco,880000.0,7/1/2013,7,2013
19413,California,"Alameda, CA",Alameda,910000.0,10/1/2017,10,2017
19431,California,"Santa Clara, CA",Santa Clara,1200000.0,11/1/2017,11,2017
19455,California,"Santa Clara, CA",Santa Clara,1306000.0,1/1/2018,1,2018
19518,California,"Santa Clara, CA",Santa Clara,1350000.0,5/1/2018,5,2018
19527,California,"Santa Clara, CA",Santa Clara,1420000.0,6/1/2018,6,2018
19545,California,"Alameda, CA",Alameda,1014000.0,8/1/2018,8,2018
19639,California,"Napa, CA",Napa,482000.0,10/1/2013,10,2013
19722,California,"San Mateo, CA",San Mateo,793000.0,1/1/2014,1,2014
19806,California,"Napa, CA",Napa,555000.0,5/1/2014,5,2014
19821,California,"San Mateo, CA",San Mateo,875000.0,5/1/2014,5,2014
19846,California,"San Mateo, CA",San Mateo,868000.0,6/1/2014,6,2014
19867,California,"San Mateo, CA",San Mateo,790000.0,7/1/2014,7,2014
19880,California,"Napa, CA",Napa,478000.0,8/1/2014,8,2014
19973,California,"Santa Clara, CA",Santa Clara,764000.0,12/1/2014,12,2014
20040,California,"San Francisco, CA",San Francisco,1160000.0,3/1/2015,3,2015
20073,California,"Napa, CA",Napa,565000.0,5/1/2015,5,2015
20101,California,"San Francisco, CA",San Francisco,1225000.0,6/1/2015,6,2015
20120,California,"San Mateo, CA",San Mateo,1255000.0,7/1/2015,7,2015
